
============================================================
ANALISIS: AMD | c3_bounce_call | ENTRADA: 202.57 | TP: 214.72 | SL: 197.51
17:00 | 201.61 | 201.72 | 200.95 | 201.28 | 405795 
17:15 | 201.20 | 201.40 | 200.69 | 200.96 | 463636 
17:30 | 201.02 | 201.24 | 200.41 | 200.96 | 418905 
17:45 | 200.99 | 202.02 | 200.88 | 201.72 | 461943 
18:00 | 201.74 | 203.27 | 201.65 | 202.91 | 667493 
18:15 | 202.88 | 203.02 | 201.28 | 201.50 | 617314 
18:30 | 201.50 | 202.86 | 201.50 | 202.45 | 643869 
18:45 | 202.45 | 202.77 | 201.16 | 201.55 | 498428 
19:00 | 201.53 | 201.84 | 201.30 | 201.54 | 396965 
19:15 | 201.50 | 202.03 | 201.03 | 201.39 | 473701 
19:30 | 201.44 | 201.59 | 200.68 | 201.30 | 398626 
19:45 | 201.32 | 201.77 | 201.03 | 201.68 | 378248 
20:00 | 201.70 | 201.90 | 201.04 | 201.19 | 364739 [ENTRADA]
20:15 | 201.21 | 201.76 | 201.17 | 201.39 | 396331 
20:30 | 201.40 | 201.71 | 200.89 | 201.25 | 483247 
20:45 | 201.28 | 202.29 | 200.80 | 201.97 | 1227857 
RESULTADO: EXITO
============================================================

