strategy	ticker	trades	pnl
p1 squeeze	LULU	4	1476.0
p1 squeeze	ALB	2	1413.14
p1 squeeze	BAC	12	1403.27
p1 squeeze	DOW	9	1402.77
p1 squeeze	FSLR	3	1391.53
p1 squeeze	ARM	3	1381.61
p1 squeeze	KHC	19	1059.53
p1 squeeze	CVX	1	1034.33
p1 squeeze	LRCX	2	989.8
p1 squeeze	INTC	7	972.41
p1 squeeze	CMG	9	956.2
p1 squeeze	CMCSA	10	870.74
p1 squeeze	FCX	7	805.08
p1 squeeze	ARKK	10	675.61
p1 squeeze	CVS	4	637.93
p1 squeeze	CCL	5	593.0
p1 squeeze	BABA	1	533.93
p1 squeeze	DDOG	2	437.36
p1 squeeze	AAL	11	401.46
p1 squeeze	APA	8	398.36
p1 squeeze	KO	2	237.2
p1 squeeze	F	12	207.94
p1 squeeze	HPE	1	128.61
p1 squeeze	BYND	5	67.48
p1 squeeze	HOOD	1	-36.52
p1 squeeze	IWM	3	-84.55
p1 squeeze	GLW	3	-144.6
p1 squeeze	AES	6	-359.24
p1 squeeze	DELL	1	-446.85
p1 squeeze	ANET	2	-736.08
p1 squeeze	GOOGL	11	-2243.25
p2 trend	DIA	8	8735.25
p2 trend	CRM	7	6046.02
p2 trend	DIS	11	5972.34
p2 trend	BA	4	4742.82
p2 trend	AAPL	9	4419.09
p2 trend	COIN	7	3737.68
p2 trend	AVGO	4	3506.82
p2 trend	GE	4	3012.94
p2 trend	AMZN	8	2904.16
p2 trend	CVX	5	2424.46
p2 trend	ADBE	4	2112.2
p2 trend	ALB	7	2061.19
p2 trend	C	4	1945.58
p2 trend	IWM	5	1638.83
p2 trend	KO	9	1243.53
p2 trend	AMD	5	1238.41
p2 trend	GLW	4	1214.99
p2 trend	AMAT	1	1214.48
p2 trend	CMG	6	1191.59
p2 trend	CRWD	2	1022.43
p2 trend	ARM	3	1011.33
p2 trend	GOOGL	1	814.16
p2 trend	ENPH	6	786.66
p2 trend	FCX	4	719.58
p2 trend	BABA	4	719.49
p2 trend	CEG	7	715.1
p2 trend	CVNA	4	642.73
p2 trend	JPM	4	624.52
p2 trend	DOW	5	613.02
p2 trend	BMY	3	606.0
p2 trend	CVS	3	580.98
p2 trend	DELL	2	557.45
p2 trend	GM	7	545.18
p2 trend	AFRM	2	492.4
p2 trend	CMCSA	7	454.89
p2 trend	DDOG	5	397.83
p2 trend	BAC	4	358.11
p2 trend	ARKK	6	351.31
p2 trend	GEV	3	335.78
p2 trend	APA	3	285.75
p2 trend	DVN	4	259.24
p2 trend	AMDL	4	225.71
p2 trend	IBM	3	220.69
p2 trend	HPE	1	133.61
p2 trend	AES	6	126.13
p2 trend	CCL	2	67.06
p2 trend	BYND	4	44.16
p2 trend	F	4	39.06
p2 trend	HAL	3	25.53
p2 trend	KHC	3	-14.59
p2 trend	HOOD	2	-28.01
p2 trend	AAL	3	-64.53
p2 trend	LRCX	1	-259.7
p2 trend	DAL	4	-356.27
p2 trend	FSLR	1	-536.92
p2 trend	BITX	4	-581.44
p2 trend	GOOG	1	-627.0
p2 trend	ANET	3	-1010.3
p2 trend	LLY	2	-1784.62
p2 trend	LULU	3	-2719.86
p3 bounce	COIN	3	4973.24
p3 bounce	AAPL	5	2624.63
p3 bounce	DIA	5	2112.25
p3 bounce	CRM	1	2020.77
p3 bounce	BA	1	1553.75
p3 bounce	ALB	2	1164.04
p3 bounce	LULU	2	1051.5
p3 bounce	AVGO	1	941.26
p3 bounce	DDOG	1	799.14
p3 bounce	AFRM	4	659.55
p3 bounce	LRCX	1	403.83
p3 bounce	ENPH	1	346.48
p3 bounce	DIS	2	301.85
p3 bounce	BITX	4	214.29
p3 bounce	KHC	1	213.68
p3 bounce	CVNA	1	203.67
p3 bounce	KO	1	123.6
p3 bounce	HPE	2	52.05
p3 bounce	CCL	2	37.04
p3 bounce	JD	1	28.53
p3 bounce	AES	1	-21.51
p3 bounce	AMDL	1	-56.54
p3 bounce	BABA	2	-58.03
p3 bounce	ARKK	1	-146.61
p3 bounce	GLW	1	-156.62
p3 bounce	CMG	1	-196.65
p3 bounce	CVX	1	-506.9
p3 bounce	AMD	1	-531.92
p3 bounce	GE	1	-556.94
p3 bounce	AMZN	2	-773.61
p3 bounce	DELL	2	-863.68
p3 bounce	LLY	1	-901.17
p3 bounce	ADBE	1	-933.99
p3 bounce	CRWD	2	-1739.78
p5 continuation	LULU	1	1964.37
p5 continuation	CRM	1	1654.83
p5 continuation	ALB	5	1448.69
p5 continuation	CVX	1	1044.34
p5 continuation	FSLR	1	1024.32
p5 continuation	ARM	1	944.26
p5 continuation	AMD	4	874.72
p5 continuation	CRWD	2	647.52
p5 continuation	BABA	1	614.0
p5 continuation	AMAT	5	457.9
p5 continuation	AES	1	133.61
p5 continuation	AAPL	3	120.61
p5 continuation	DELL	3	100.59
p5 continuation	BYND	1	83.57
p5 continuation	ANET	1	83.57
p5 continuation	APA	3	60.56
p5 continuation	HOOD	3	10.53
p5 continuation	ADBE	3	5.01
p5 continuation	DVN	3	-29.51
p5 continuation	F	1	-46.53
p5 continuation	JD	1	-96.57
p5 continuation	DAL	1	-116.59
p5 continuation	GLW	1	-126.6
p5 continuation	FCX	1	-126.6
p5 continuation	AFRM	1	-129.3
p5 continuation	BITX	2	-233.17
p5 continuation	DDOG	1	-336.76
p5 continuation	AMZN	3	-740.08
p5 continuation	COIN	2	-1414.12
p6 reversal	BA	20	17245.69
p6 reversal	GOOGL	19	17128.44
p6 reversal	AMZN	24	16988.47
p6 reversal	GEV	24	16537.39
p6 reversal	CRM	20	15797.08
p6 reversal	JPM	15	15602.19
p6 reversal	CEG	19	14994.89
p6 reversal	GOOG	16	14682.46
p6 reversal	CRWD	15	14131.1
p6 reversal	LLY	14	13005.86
p6 reversal	COIN	28	12799.86
p6 reversal	ADBE	19	11590.23
p6 reversal	AMAT	20	10616.75
p6 reversal	BABA	20	10520.51
p6 reversal	IWM	11	10321.32
p6 reversal	AMD	28	9911.17
p6 reversal	AAPL	27	9726.9
p6 reversal	IBM	11	9688.16
p6 reversal	DIA	22	9683.33
p6 reversal	ARM	20	9255.3
p6 reversal	LULU	8	8494.79
p6 reversal	ALB	19	7512.59
p6 reversal	GE	14	7403.08
p6 reversal	GLW	20	7397.82
p6 reversal	ARKK	23	6781.15
p6 reversal	AVGO	17	6081.93
p6 reversal	DELL	17	5527.69
p6 reversal	DIS	17	5295.12
p6 reversal	CVX	16	5268.89
p6 reversal	ANET	20	5258.09
p6 reversal	DDOG	15	5231.76
p6 reversal	AFRM	22	5087.58
p6 reversal	BITX	26	4440.31
p6 reversal	C	15	4181.02
p6 reversal	LRCX	8	3162.17
p6 reversal	HOOD	15	2827.53
p6 reversal	ENPH	23	2823.27
p6 reversal	CVNA	14	2569.23
p6 reversal	APA	25	2494.61
p6 reversal	DAL	20	2315.66
p6 reversal	FCX	21	2289.85
p6 reversal	JD	12	1827.14
p6 reversal	CMG	18	1733.4
p6 reversal	DVN	17	1727.18
p6 reversal	HAL	15	1693.93
p6 reversal	INTC	12	1658.17
p6 reversal	BAC	10	1331.11
p6 reversal	KO	14	1326.65
p6 reversal	FSLR	18	1303.55
p6 reversal	DOW	15	1209.33
p6 reversal	GM	7	1095.42
p6 reversal	CCL	17	928.63
p6 reversal	AMDL	17	817.84
p6 reversal	AES	20	731.99
p6 reversal	AAL	24	571.28
p6 reversal	CVS	11	413.09
p6 reversal	KHC	7	404.86
p6 reversal	CMCSA	2	392.32
p6 reversal	BMY	13	270.89
p6 reversal	BYND	16	206.84
p6 reversal	F	17	200.45
p6 reversal	HPE	4	49.06
